,rawcyano,¼ö¿Â(¡É),DO(mg/L),T-N(mg/L),Tem_d,Rain_d,Q_d
346,59525,26.2,11.2,2.85,-23.26536,1.1642375,-82.00651
347,223561,25.6,8.2,2.165,-25.171263,-0.11633816,-172.15344
348,17803,23.7,10.3,1.969,-28.522926,0.43268633,-413.72473
349,11539,25.8,10.5,1.52,-29.653883,0.43268633,-140.9893
350,113641,30.5,10.6,1.352,-28.905354,0.15593201,-134.29373
351,66144,29.9,9.2,1.272,-29.65698,0.50205755,-118.68047
352,194923,29.7,7.9,1.417,-26.717903,0.9392662,-84.728195
353,29215,27.6,8.6,1.848,-24.129284,0.23500466,-218.82228
354,24273,25.8,9.1,1.845,-22.416195,-7.3850746,-188.5785
355,7572,25.3,7.5,1.397,-24.352858,0.49575108,-252.61107
356,67489,25.7,11.2,1.426,-21.603594,3.321052,-128.46704
357,776,20.3,8.0,2.422,-19.264118,0.55881584,-421.70584
358,1737,22.4,9.7,2.24,-23.241804,6.3616514,-165.88472
359,267,20.5,8.0,2.203,-15.678791,0.43268633,-251.62808
360,1713,18.9,9.7,2.193,-14.200765,1.157931,-140.80069
361,378,18.2,9.8,2.682,-16.565786,0.43268633,-126.63721
362,148,17.5,10.4,2.98,-11.322001,0.43268633,-159.11494
363,632,16.1,10.9,2.66,-10.325385,0.43268633,-79.90776
364,579,14.5,14.1,2.447,-6.4705753,0.43268633,-56.837112
365,624,12.7,12.2,2.509,-4.367305,0.43268633,-97.793915
366,454,11.5,11.4,2.833,-6.083492,0.43268633,-63.84108
367,1009,10.4,11.6,3.113,-0.30926645,0.43268633,-75.22265
368,877,7.5,11.1,2.997,-1.7093812,0.43268633,-60.381557
369,261,7.0,14.0,3.031,-5.0453176,0.43268633,-63.159386
370,142,5.9,14.1,3.182,-1.60896,0.4642187,-67.23456
371,219,4.7,14.7,3.259,-4.25309,0.43268633,-90.29913
372,126,5.4,13.5,3.036,0.22429463,0.43268633,-122.34001
373,148,4.7,15.9,3.459,-0.6646539,0.8804461,-97.71706
374,511,5.5,13.8,3.688,-6.3095613,0.43268633,-127.33014
375,506,6.5,15.0,3.54,0.9510115,0.43268633,-80.31887
376,1314,5.5,15.5,3.422,-2.8485498,1.2714475,-62.66089
377,1491,7.0,15.2,3.346,-0.37612996,0.53358996,-90.065186
378,941,8.1,13.8,2.975,-6.191935,-0.5946115,-100.86112
379,62,8.7,14.1,3.016,-4.9558315,0.55881584,-132.38997
380,803,9.0,14.0,3.209,-7.465334,0.43268633,-122.36406
381,1240,10.0,13.4,2.883,-7.288421,0.43268633,-82.75077
382,1081,12.1,13.6,2.777,-10.778424,1.2462217,-72.42815
383,1236,13.2,12.8,2.781,-11.230589,0.4389928,-68.63585
384,677,14.1,12.8,2.632,-11.570403,0.4642187,-47.677876
385,46,14.2,10.6,2.592,-10.353863,1.580465,-37.806118
386,0,14.9,9.7,2.89,-9.307782,0.43268633,-93.50352
387,0,15.4,11.2,2.671,-13.712641,0.43268633,-30.692877
388,241,18.3,11.0,2.213,-18.470343,2.0408375,-38.36324
389,677,19.9,9.9,2.318,-17.753008,1.0822533,-79.62958
390,572,20.9,9.6,2.494,-16.00446,0.43268633,-234.30276
391,144,21.5,11.7,2.291,-21.008207,0.43268633,-80.57326
392,1367,22.8,9.9,2.1,-23.048662,0.43268633,-67.30818
